id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1109341778789959976,Depto en La Florida,455800373,Ana,,La Florida,-33.52231,-70.59899,Entire home/apt,,1,0,,,1,269,0,
1109454183786430915,Departamento a pasos del metro,166682895,Bárbara,,La Cisterna,-33.5269899,-70.6600742,Entire home/apt,38804,1,33,2024-09-22,4.95,4,362,33,
1109459508256511826,"Apartment with incredible location in Ñuñoa, Chile",215293134,Isabella,,Ñuñoa,-33.4537567,-70.6071501,Entire home/apt,30286,14,4,2024-09-22,1.30,1,236,4,
1109469773248946668,Exclusivo Studio decorado en Barrio Lastarria,66643767,Camila,,Santiago,-33.43951722874933,-70.64136332698365,Entire home/apt,41143,1,15,2024-09-11,2.32,1,186,15,
1109504610292434966,Departamento Estándar,306672150,Yoshiaki,,Las Condes,-33.4165207,-70.602743,Entire home/apt,70000,1,3,2024-08-04,0.50,3,331,3,
1109523090960079388,"Centrico departamento, est. wifi",87377678,Aldo,,Santiago,-33.44796160000001,-70.6396409,Entire home/apt,41835,1,2,2024-07-07,0.43,1,268,2,
1109564515180882275,Apartamento Clínica Las Condes y estacionamiento,566404425,Tamara,,Las Condes,-33.382703285888994,-70.5310232564807,Entire home/apt,80000,1,9,2024-08-18,1.44,1,88,9,
1109567227034053094,Cutie Rentapart Santa Lucía,25197691,Soledad,,Santiago,-33.44556,-70.63943,Entire home/apt,27000,3,16,2024-09-11,2.50,7,231,16,
1109678311634500014,Tranquilo lugar en Lastarria,564077347,Vicente,,Santiago,-33.43836,-70.63832,Entire home/apt,31429,2,5,2024-09-01,0.78,1,270,5,
1109718407709795664,Habitación Privada del año 1920 (1),444626898,Pedro,,Santiago,-33.4419652,-70.6758408,Private room,28000,2,3,2024-08-27,1.67,5,362,3,
1110062680606012285,Arriendo habitaciones,566511854,María Cristina,,Las Condes,-33.4092412,-70.5337764,Private room,32000,1,0,,,1,270,0,
1110074554385994933,Habitación / estadio nacional,553663252,Marcela,,Ñuñoa,-33.46581,-70.60476,Private room,25000,2,1,2024-04-28,0.20,1,269,1,
1110078481912997545,Lastarria apartment with very good heating,566519936,David,,Santiago,-33.43980372012643,-70.64132041163941,Entire home/apt,61571,1,27,2024-09-20,4.50,1,329,27,
1110105289564536150,"Habitación, Supermercado y Metro",446767727,Pedro,,Providencia,-33.4249664,-70.5934694,Private room,35051,7,6,2024-09-17,1.12,2,141,6,
1110176574358375247,Loft privado en entorno natural,56374918,Sonia Paz,,La Florida,-33.5207406,-70.54841929999999,Entire home/apt,20000,1,0,,,1,265,0,
1110183092041836470,"Dormitorio servicio, San Carlos",90803308,Mauricio,,Las Condes,-33.39465,-70.51218,Private room,34000,1,12,2024-08-31,1.87,5,269,12,
1110202053526907455,Cozy Illuminated Well Located Apt,69284052,Rosario,,Vitacura,-33.40359,-70.59522,Entire home/apt,90552,3,0,,,1,259,0,
1110240105530195687,Habitación en Las Condes,566571634,Sebastián,,Las Condes,-33.4289954,-70.5484324,Private room,28000,1,0,,,1,269,0,
1110240736119760026,Mirador Gamero 1207,566571985,Ricardo,,Independencia,-33.42086310000001,-70.6587472,Entire home/apt,38400,3,8,2024-09-02,1.75,9,179,8,
1110241571868118521,"Lindo, cómodo y central 4",32839150,María De Lourdes,,Santiago,-33.43266,-70.65358,Entire home/apt,77143,3,2,2024-07-13,0.38,2,269,2,
1110294206906991927,Apartamento entero Santa Lucía,384841562,Rayen,,Santiago,-33.4444741397499,-70.64285695552826,Entire home/apt,30000,4,1,2024-08-18,0.75,1,144,1,
1110302991322016920,"Moderno, de Calidad y Funcional.",333287556,Paola,,Las Condes,-33.41298,-70.5894287,Entire home/apt,100000,4,1,2024-04-13,0.18,1,129,1,
1110366516317431218,Cómodo y bello departamento,341077356,Glenda,,Santiago,-33.44293,-70.63699,Entire home/apt,30000,1,42,2024-09-14,6.49,2,37,42,
1110448070869598711,Departamento Parque Almagro (Estilo Industrial),566629611,Alfonso Ignacio,,Santiago,-33.4534201,-70.6534267,Entire home/apt,30000,1,32,2024-09-08,5.78,1,65,32,
1110710198600743957,Explore the unique charm of Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,38336,2,18,2024-07-14,2.80,194,340,18,
1110710456516144776,Descubre la autentica energia de Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,39731,2,21,2024-09-09,3.35,194,349,21,
1110710656323015753,Live the authentic atmosphere of Barrio Italia,317472101,Andes STR,,Ñuñoa,-33.4513817,-70.6269198,Entire home/apt,52406,2,18,2024-09-06,3.03,194,338,18,
1110874293276629712,Departamento Agustinas 2 dorm con estacionamiento,566719488,Susana,,Santiago,-33.4412959,-70.6613504,Entire home/apt,41143,1,0,,,1,178,0,
1110947628864880623,Hermoso Depto en Barrio Italia,173270525,Edith María,,Ñuñoa,-33.45212,-70.62437,Entire home/apt,55143,2,22,2024-09-22,3.40,1,257,22,
1110957719510474054,Pieza Solo Mujeres con baño privado,482358142,Dominique,,San Miguel,-33.47776169999999,-70.6473086,Private room,17000,1,8,2024-09-08,1.90,1,87,8,
1111002728200976142,Departamento de temporada 19,165041280,Ulises,,Santiago,-33.44552,-70.6346,Entire home/apt,28500,4,6,2024-09-23,1.13,2,87,6,
1111012023934729811,"Explora el Barrio Guardia Vieja, a pasos del metro",317472101,Andes STR,,Providencia,-33.4241331,-70.61092959999999,Entire home/apt,70392,2,13,2024-08-27,2.22,194,354,13,
1111070816100601591,Frente al Metro para 3 pax.,490974377,MVP Housing,,San Joaquín,-33.47738124296492,-70.62254793941975,Entire home/apt,27847,1,22,2024-09-13,3.67,34,254,22,
1111089235348768849,Departamento Superior (2 Dorm),547964891,Carlos,,Providencia,-33.42458,-70.61616,Entire home/apt,88100,1,90,2024-09-23,13.71,6,339,90,
1111180168769040793,Cómodo estudio en Valle Nevado,93659378,María Paz,,Lo Barnechea,-33.35742,-70.25027,Entire home/apt,190000,2,7,2024-08-26,2.80,5,269,7,
1111194781105001191,habitación para una mujer.,564558970,Beatriz,,Providencia,-33.4314374183299,-70.63020698726177,Private room,25000,7,0,,,1,269,0,
1111430617319245432,Casa El bosque,566847363,Jennifer,,El Bosque,-33.58169,-70.67674,Private room,15000,1,1,2024-06-18,0.30,2,262,1,
1111440679511108742,Atractivo y acogedor espacio.,566848901,Jeanette,,Estación Central,-33.454674764166725,-70.69964133203031,Entire home/apt,30400,2,0,,,1,237,0,
1111501599306479060,Lindo depto cerca Movistar Arena,311331808,Fernando,,Santiago,-33.4537,-70.6565,Entire home/apt,27571,1,25,2024-09-23,5.56,1,81,25,
1111501781081298409,Corazón de Providencia,539403310,Juan Carlos,,Providencia,-33.43448,-70.61183,Entire home/apt,120000,2,15,2024-08-30,2.49,1,270,15,
1111509702895526438,"Amplio Apto Valle Nevado, 4 piezas, Terraza, 9 pax",24011672,Maria,,Lo Barnechea,-33.3582615,-70.2498126,Entire home/apt,320000,1,3,2024-08-02,1.29,23,269,3,
1111575320009905634,Departamento Estacion Central,566884696,Natalia,,Estación Central,-33.45964,-70.69776,Entire home/apt,40000,1,3,2024-05-12,0.46,1,266,3,
1111611840923782740,New 2B2B free parking!,1163636,Freddy & Alejandro,,Santiago,-33.44595,-70.64162,Entire home/apt,58000,3,2,2024-09-19,2,2,89,2,
1111635705746767972,"Chic Plaza 2B W/Wifi, Parking & Metro.",46251885,HappyHost,,Ñuñoa,-33.45311,-70.57146,Entire home/apt,66694,2,13,2024-09-08,2.02,30,350,13,
1111750395762276973,Habitación en barrio lastarria,247455080,Nicolas,,Santiago,-33.43843,-70.63818,Private room,13200,1,0,,,1,269,0,
1111824443979546849,Moderno Departamento Las Condes,140127790,Javier,,Las Condes,-33.41084,-70.57162,Entire home/apt,66179,1,12,2024-08-22,2.00,21,270,12,
1111840839151686533,Apartamento en Santiago Centro,188608950,Julio Perez,,Santiago,-33.4403546,-70.6567062,Entire home/apt,35000,1,7,2024-09-08,1.31,5,270,7,
1111884138292470125,Departamento full amoblado,90551190,Marcelo,,Providencia,-33.4347933,-70.6276529,Entire home/apt,60714,1,48,2024-09-24,7.46,1,243,48,
1111929330008407420,Departamento exclusivo,545490661,Felipe,,Lo Barnechea,-33.36056,-70.51755,Entire home/apt,250000,1,0,,,1,267,0,
1112205361923035786,BED &GO Habitación individual trasera pequeña 2,67821236,Maria Luisa,,Ñuñoa,-33.4621,-70.6123,Private room,,1,3,2024-07-12,0.52,7,0,3,
1112207379026926689,Acogedora casa,566847363,Jennifer,,El Bosque,-33.58154,-70.67814,Private room,15455,1,0,,,2,90,0,
1112233504344751009,Pieza privada en barrio tranquilo,552365460,Pamela,,Providencia,-33.4449586,-70.62953329999999,Private room,22000,1,13,2024-08-03,2.11,1,90,13,
1112236313404047333,Explore the Heart of Santiago: Elegant Studio,317472101,Andes STR,,Santiago,-33.4345067,-70.6567531,Entire home/apt,37760,2,6,2024-08-26,1.61,194,238,6,
1112236576833101595,Discover Santiago's Urban and Elegant Apartment,317472101,Andes STR,,Santiago,-33.4345067,-70.6567531,Entire home/apt,29129,2,3,2024-09-06,2.57,194,365,3,
1112236682516885861,Live the City | Urban Studio in Downtown Santiago,317472101,Andes STR,,Santiago,-33.4345067,-70.6567531,Entire home/apt,37760,2,1,2024-07-30,0.51,194,238,1,
1112236764540068688,Stylish Urban Studio Experience in Santiago Center,317472101,Andes STR,,Santiago,-33.43451,-70.65675,Entire home/apt,29129,2,4,2024-09-06,0.76,194,365,4,
1112236887016561468,Discover Santiago: Urban and Elegant Apartment,317472101,Andes STR,,Santiago,-33.4345067,-70.6567531,Entire home/apt,29129,2,10,2024-09-13,1.95,194,365,10,
1112239160094875976,Discover the city from this stylish apartment,317472101,Andes STR,,Santiago,-33.4345067,-70.6567531,Entire home/apt,37760,2,5,2024-08-21,2.03,194,210,5,
1112246535034930000,Tremenda relación precio/calidad en Santiago!,85467241,Bernardo,,San Joaquín,-33.4878612,-70.61923999999999,Entire home/apt,34286,1,1,2024-08-18,0.75,29,241,1,
1112252214031766672,Departamento Santiago Centro,5497490,Gaëtan,,Santiago,-33.4461326,-70.6401726,Entire home/apt,57600,2,18,2024-08-12,2.80,1,174,18,
